Image ID,Name,Person URI
21761549,Celia Johnson,http://dbpedia.org/resource/Celia_Johnson
1054487,Angela Down,http://dbpedia.org/resource/Angela_Down
1054484,Peter Jeffrey,http://dbpedia.org/resource/Peter_Jeffrey
1054489,Michael Hordern,http://dbpedia.org/resource/Michael_Hordern
1054485,Donald Sinden,http://dbpedia.org/resource/Donald_Sinden
1054483,Ian Charleson,http://dbpedia.org/resource/Ian_Charleson
1054473,Ian Charleson,http://dbpedia.org/resource/Ian_Charleson
1054473,Donald Sinden,http://dbpedia.org/resource/Donald_Sinden
1054473,Pippa Guard,http://dbpedia.org/resource/Pippa_Guard
21611531,Antony Keaney,http://shakespeare.acropolis.org.uk/people/Antony+Keaney
21611531,Lewis Casson,http://shakespeare.acropolis.org.uk/people/Lewis+Casson
21611531,Arthur Lawrence,http://shakespeare.acropolis.org.uk/people/Arthur+Lawrence
21611532,Barbara Burnham,http://www.wikidata.org/entity/Q2883912
21611532,Robert Eddison,http://dbpedia.org/resource/Robert_Eddison
2878187,Laidman Browne,http://shakespeare.acropolis.org.uk/people/Laidman+Browne
2878187,Gladys Young,http://shakespeare.acropolis.org.uk/people/Gladys+Young
2878187,David Peel,http://dbpedia.org/resource/David_Peel_(actor)
21783447,Brian Stirner,http://shakespeare.acropolis.org.uk/people/Brian+Stirner
21783648,Angharad Rees,http://dbpedia.org/resource/Angharad_Rees
21783648,James Bolam,http://dbpedia.org/resource/James_Bolam
21783648,Helen Mirren,http://dbpedia.org/resource/Helen_Mirren
21783443,Helen Mirren,http://dbpedia.org/resource/Helen_Mirren
21783446,Helen Mirren,http://dbpedia.org/resource/Helen_Mirren
21783646,Angharad Rees,http://dbpedia.org/resource/Angharad_Rees
21783646,Helen Mirren,http://dbpedia.org/resource/Helen_Mirren
21775286,Brian Stirner,http://shakespeare.acropolis.org.uk/people/Brian+Stirner
21775285,Angharad Rees,http://dbpedia.org/resource/Angharad_Rees
21775285,James Bolam,http://dbpedia.org/resource/James_Bolam
21775285,Helen Mirren,http://dbpedia.org/resource/Helen_Mirren
21772493,Clive Francis,http://dbpedia.org/resource/Clive_Francis
21772494,Angharad Rees,http://dbpedia.org/resource/Angharad_Rees
21772494,Helen Mirren,http://dbpedia.org/resource/Helen_Mirren
21772496,Angharad Rees,http://dbpedia.org/resource/Angharad_Rees
21772496,Helen Mirren,http://dbpedia.org/resource/Helen_Mirren
21772495,Angharad Rees,http://dbpedia.org/resource/Angharad_Rees
865342,Brian Stirner,http://shakespeare.acropolis.org.uk/people/Brian+Stirner
865342,Helen Mirren,http://dbpedia.org/resource/Helen_Mirren
865345,David Lloyd Meredith,http://dbpedia.org/resource/David_Lloyd_Meredith
865345,James Bolam,http://dbpedia.org/resource/James_Bolam
865334,James Bolam,http://dbpedia.org/resource/James_Bolam
865337,Brian Stirner,http://shakespeare.acropolis.org.uk/people/Brian+Stirner
865330,Richard Pasco,http://dbpedia.org/resource/Richard_Pasco
865332,David Lloyd Meredith,http://dbpedia.org/resource/David_Lloyd_Meredith
865346,Arthur Hewlett,http://dbpedia.org/resource/Arthur_Hewlett
865325,Richard Easton,http://dbpedia.org/resource/Richard_Easton
865322,Helen Mirren,http://dbpedia.org/resource/Helen_Mirren
865318,Tony Church,http://dbpedia.org/resource/Tony_Church
865326,Angharad Rees,http://dbpedia.org/resource/Angharad_Rees
865326,Helen Mirren,http://dbpedia.org/resource/Helen_Mirren
865339,Helen Mirren,http://dbpedia.org/resource/Helen_Mirren
865339,Richard Pasco,http://dbpedia.org/resource/Richard_Pasco
865339,Angharad Rees,http://dbpedia.org/resource/Angharad_Rees
865327,Chris Sullivan,http://shakespeare.acropolis.org.uk/people/Chris+Sullivan
865327,Clive Francis,http://dbpedia.org/resource/Clive_Francis
865331,Marilyn Le Conte,http://shakespeare.acropolis.org.uk/people/Marilyn+Le+Conte
865338,Angharad Rees,http://dbpedia.org/resource/Angharad_Rees
865341,John Quentin,http://shakespeare.acropolis.org.uk/people/John+Quentin
865328,Helen Mirren,http://dbpedia.org/resource/Helen_Mirren
865340,James Bolam,http://dbpedia.org/resource/James_Bolam
865329,Clive Francis,http://dbpedia.org/resource/Clive_Francis
865335,Richard Pasco,http://dbpedia.org/resource/Richard_Pasco
865321,Victoria Plucknett,http://dbpedia.org/resource/Victoria_Plucknett
865321,Maynard Williams,http://shakespeare.acropolis.org.uk/people/Maynard+Williams
21999848,Pamela Alan,http://shakespeare.acropolis.org.uk/people/Pamela+Alan
21999848,Peter Wyngarde,http://dbpedia.org/resource/Peter_Wyngarde
21995959,Guy Verney,http://shakespeare.acropolis.org.uk/people/Guy+Verney
21995959,Walter Hudd,http://dbpedia.org/resource/Walter_Hudd
21995956,Laurence Harvey,http://dbpedia.org/resource/Laurence_Harvey
21995956,Margaret Leighton,http://dbpedia.org/resource/Margaret_Leighton
21995957,Margaret Leighton,http://dbpedia.org/resource/Margaret_Leighton
21995957,Isabel Dean,http://dbpedia.org/resource/Isabel_Dean
21995958,Kenneth Connor,http://dbpedia.org/resource/Kenneth_Connor
21995958,Vida Hope,http://dbpedia.org/resource/Vida_Hope
21323579,Peter Bell,http://dbpedia.org/resource/Peter_Bell_(actor)
21323579,Vivienne Bennett,http://shakespeare.acropolis.org.uk/people/Vivienne+Bennett
21323579,Mary Honer,http://shakespeare.acropolis.org.uk/people/Mary+Honer
2132358,Oscar Quitak,http://dbpedia.org/resource/Oscar_Quitak
2132358,Desmond Llewelyn,http://dbpedia.org/resource/Desmond_Llewelyn
16298817,Magaretta Scott,http://shakespeare.acropolis.org.uk/people/Magaretta+Scott
