name,uri
A A Gill,http://dbpedia.org/resource/A_A_Gill
A.S. Sheik,http://shakespeare.acropolis.org.uk/people/A.S.+Sheik
Abigail Canton,http://shakespeare.acropolis.org.uk/people/Abigail+Canton
Abigail Reynolds,http://shakespeare.acropolis.org.uk/people/Abigail+Reynolds
Abraham Sofaer,http://dbpedia.org/resource/Abraham_Sofaer
Adam Bareham,http://shakespeare.acropolis.org.uk/people/Adam+Bareham
Adam Cooper,http://shakespeare.acropolis.org.uk/people/Adam+Cooper
Adam Godley,http://shakespeare.acropolis.org.uk/people/Adam+Godley
Adam Kurakin,http://shakespeare.acropolis.org.uk/people/Adam+Kurakin
Adam Sunderland,http://shakespeare.acropolis.org.uk/people/Adam+Sunderland
Adam Wolters,http://shakespeare.acropolis.org.uk/people/Adam+Wolters
Addoloraca Romano,http://shakespeare.acropolis.org.uk/people/Addoloraca+Romano
Adjoa Andoh,http://shakespeare.acropolis.org.uk/people/Adjoa+Andoh
Adrian Brine,http://shakespeare.acropolis.org.uk/people/Adrian+Brine
Adrian Dunbar,http://shakespeare.acropolis.org.uk/people/Adrian+Dunbar
Adrian Edmondson,http://shakespeare.acropolis.org.uk/people/Adrian+Edmondson
Adrian Egan,http://shakespeare.acropolis.org.uk/people/Adrian+Egan
Adrian Harman,http://shakespeare.acropolis.org.uk/people/Adrian+Harman
Adrian Irvine,http://shakespeare.acropolis.org.uk/people/Adrian+Irvine
Adrian Johnston,http://shakespeare.acropolis.org.uk/people/Adrian+Johnston
Adrian Lester,http://shakespeare.acropolis.org.uk/people/Adrian+Lester
Adrian Noble,http://shakespeare.acropolis.org.uk/people/Adrian+Noble
Adrian Penketh,http://shakespeare.acropolis.org.uk/people/Adrian+Penketh
Adrienne Corri,http://dbpedia.org/resource/Adrienne_Corri
Aimée Delamain,http://shakespeare.acropolis.org.uk/people/Aimee+Delamain
Akram Khan,http://shakespeare.acropolis.org.uk/people/Akram+Khan
Alan Able,http://shakespeare.acropolis.org.uk/people/Alan+Able
Alan Allkins,http://shakespeare.acropolis.org.uk/people/Alan+Allkins
Alan Almond,http://shakespeare.acropolis.org.uk/people/Alan+Almond
Alan Badel,http://shakespeare.acropolis.org.uk/people/Alan+Badel
Alan Bennett,http://dbpedia.org/resource/Alan_Bennett
Alan Boustead,http://shakespeare.acropolis.org.uk/people/Alan+Boustead
Alan Bowerman,http://shakespeare.acropolis.org.uk/people/Alan+Bowerman
Alan Bridges,http://shakespeare.acropolis.org.uk/people/Alan+Bridges
Alan Brown,http://shakespeare.acropolis.org.uk/people/Alan+Brown
Alan Collins,http://shakespeare.acropolis.org.uk/people/Alan+Collins
Alan Cooke,http://shakespeare.acropolis.org.uk/people/Alan+Cooke
Alan Cox,http://dbpedia.org/resource/Alan_Cox_(actor)
Alan Curtis,http://shakespeare.acropolis.org.uk/people/Alan+Curtis
Alan Dalton,http://shakespeare.acropolis.org.uk/people/Alan+Dalton
Alan David,http://shakespeare.acropolis.org.uk/people/Alan+David
Alan Dudley,http://shakespeare.acropolis.org.uk/people/Alan+Dudley
Alan Haines,http://shakespeare.acropolis.org.uk/people/Alan+Haines
Alan Hay,http://shakespeare.acropolis.org.uk/people/Alan+Hay
Alan Howard,http://dbpedia.org/resource/Alan_Howard
Alan Jeapes,http://shakespeare.acropolis.org.uk/people/Alan+Jeapes
Alan Jenkins,http://shakespeare.acropolis.org.uk/people/Alan+Jenkins
Alan Knight,http://shakespeare.acropolis.org.uk/people/Alan+Knight
Alan Leith,http://shakespeare.acropolis.org.uk/people/Alan+Leith
Alan Mitchell,http://shakespeare.acropolis.org.uk/people/Alan+Mitchell
