Programme Number,Cast or Crew?,Person/Group Name,Role,Person/Group URI
LDPA740Y,cast,Jon Finch,King Henry IV,http://dbpedia.org/resource/Jon_Finch
LDPA740Y,cast,David Gwillim,Henry,http://dbpedia.org/resource/David_Gwillim
LDPA740Y,cast,Rob Edwards,Prince John of Lancaster,http://dbpedia.org/resource/Rob_Edwards_(actor)
LDPA740Y,cast,David Buck,Earl of Westmorland,http://dbpedia.org/resource/David_Buck
LDPA740Y,cast,Robert Brown,Sir Walter Blunt,http://shakespeare.acropolis.org.uk/people/Robert+Brown
LDPA740Y,cast,Clive Swift,"Thomas Percy, Earl of Worcester",http://dbpedia.org/resource/Clive_Swift
LDPA740Y,cast,Bruce Purchase,Henry Percy,http://dbpedia.org/resource/Bruce_Purchase
LDPA740Y,cast,Robert Morris,Edmund Mortimer,http://dbpedia.org/resource/Robert_Morris_(actor)
LDPA740Y,cast,John Cairney,Earl of Douglas,http://dbpedia.org/resource/John_Cairney
LDPA740Y,cast,David Neal,Scroop Archbishop of York,http://dbpedia.org/resource/David_Neal
LDPA740Y,cast,Norman Rutherford,Sir Michael,http://shakespeare.acropolis.org.uk/people/Norman+Rutherford
LDPA740Y,cast,Richard Owens,Owen Glendower,http://shakespeare.acropolis.org.uk/people/Richard+Owens
LDPA740Y,cast,Terence Wilton,Sir Richard Vernon,http://shakespeare.acropolis.org.uk/people/Terence+Wilton
LDPA740Y,cast,Anthony Quayle,Sir John Falstaff,http://dbpedia.org/resource/Anthony_Quayle
LDPA740Y,cast,Jack Galloway,Poins,http://dbpedia.org/resource/Jack_Galloway
LDPA740Y,cast,Gordon Gostelow,Bardolph,http://dbpedia.org/resource/Gordon_Gostelow
LDPA740Y,cast,Steven Beard,Peto,http://shakespeare.acropolis.org.uk/people/Steven+Beard
LDPA740Y,cast,Michele Dotrice,Lady Percy,http://dbpedia.org/resource/Michele_Dotrice
LDPA740Y,cast,Sharon Morgan,Lady Mortimer,http://dbpedia.org/resource/Sharon_Morgan
LDPA740Y,cast,Brenda Bruce,Mistress Quickly,http://dbpedia.org/resource/Brenda_Bruce
LDPA740Y,cast,Mike Lewin,First Carrier,http://shakespeare.acropolis.org.uk/people/Mike+Lewin
LDPA740Y,cast,David Bailie,Second Carrier,http://dbpedia.org/resource/David_Bailie
LDPA740Y,cast,Douglas Milvain,Chamberlain,http://shakespeare.acropolis.org.uk/people/Douglas+Milvain
LDPA740Y,cast,Neville Barber,Sheriff,http://shakespeare.acropolis.org.uk/people/Neville+Barber
LDPA740Y,cast,George Winter,Servant to Hotspur,http://shakespeare.acropolis.org.uk/people/George+Winter
LDPA740Y,cast,Michael Heath,First Messenger,http://shakespeare.acropolis.org.uk/people/Michael+Heath
LDPA740Y,cast,Malcolm Hughes,Second messenger,http://shakespeare.acropolis.org.uk/people/Malcolm+Hughes
LDPB804R,cast,Derek Jacobi,Hamlet,http://dbpedia.org/resource/Derek_Jacobi
LDPB804R,cast,Claire Bloom,Gertrude,http://dbpedia.org/resource/Claire_Bloom
LDPB804R,cast,Patrick Stewart,Claudius,http://dbpedia.org/resource/Patrick_Stewart
LDPB804R,cast,Eric Porter,Polonius,http://dbpedia.org/resource/Eric_Porter
LDPB804R,cast,Lalla Ward,Ophelia,http://dbpedia.org/resource/Lalla_Ward
LDPB804R,cast,David Robb,Laertes,http://dbpedia.org/resource/David_Robb
LDPB804R,cast,Patrick Allen,Ghost of Hamlet's Father,http://dbpedia.org/resource/Patrick_Allen
LDPB804R,cast,Robert Swann,Horatio,http://shakespeare.acropolis.org.uk/people/Robert+Swann
LDPB804R,cast,Jonathan Hyde,Rosencrantz,http://dbpedia.org/resource/Jonathan_Hyde
LDPB804R,cast,Geoffrey Bateman,Guildenstern,http://shakespeare.acropolis.org.uk/people/Geoffrey+Bateman
LDPB804R,cast,Emrys James,First Player King,http://dbpedia.org/resource/Emrys_James
LDPB804R,cast,Jason Kemp,Second Player Queen,http://shakespeare.acropolis.org.uk/people/Jason+Kemp
LDPB804R,cast,Geoffrey Beevers,Third Player Lucianus,http://dbpedia.org/resource/Geoffrey_Beevers
LDPB804R,cast,Bill Homewood,Player in the mime,http://shakespeare.acropolis.org.uk/people/Bill+Homewood
LDPB804R,cast,Peter Richard,Player in the mime Queen,http://shakespeare.acropolis.org.uk/people/Peter+Richard
LDPB804R,cast,Terence McGinity,Player in the mime,http://shakespeare.acropolis.org.uk/people/Terence+McGinity
LDPB804R,cast,Peter Burroughs,Player,http://dbpedia.org/resource/Peter_Burroughs
LDPB804R,cast,Stuart Fell,Player,http://dbpedia.org/resource/Stuart_Fell
LDPB804R,cast,Ian Charleson,Fortinbras,http://dbpedia.org/resource/Ian_Charleson
LDPB804R,cast,Tim Wylton,First Gravedigger,http://dbpedia.org/resource/Tim_Wylton
LDPB804R,cast,Peter Benson,Second Gravedigger,http://dbpedia.org/resource/Peter_Benson_(actor)
LDPB804R,cast,Paul Humpoletz,Marcellus,http://shakespeare.acropolis.org.uk/people/Paul+Humpoletz
LDPB804R,cast,Niall Padden,Bernardo,http://shakespeare.acropolis.org.uk/people/Niall+Padden
LDPB804R,cast,Christopher Baines,Francisco,http://shakespeare.acropolis.org.uk/people/Christopher+Baines
LDPB804R,cast,John Humphry,Voltimand,http://shakespeare.acropolis.org.uk/people/John+Humphry
LDPB804R,cast,John Sterland,Cornelius,http://dbpedia.org/resource/John_Sterland
LDPB804R,cast,Peter Gale,Osric,http://shakespeare.acropolis.org.uk/people/Peter+Gale
LDPB804R,cast,Raymond Mason,Reynaldo,http://shakespeare.acropolis.org.uk/people/Raymond+Mason
LDPB804R,cast,Dan Meaden,Norwegian Captain,http://shakespeare.acropolis.org.uk/people/Dan+Meaden
LDPB804R,cast,Iain Blair,Sailor,http://dbpedia.org/resource/Iain_Blair
LDPB804R,cast,Reginald Jessup,Messenger,http://shakespeare.acropolis.org.uk/people/Reginald+Jessup
LDPB804R,cast,Michael Poole,Priest,http://shakespeare.acropolis.org.uk/people/Michael+Poole
LDPB804R,cast,David Henry,English Ambassador,http://shakespeare.acropolis.org.uk/people/David+Henry
LDPC632D,cast,Celia Johnson,Countess of Roussillion,http://dbpedia.org/resource/Celia_Johnson
LDPC632D,cast,Ian Charleson,Bertram,http://dbpedia.org/resource/Ian_Charleson
LDPC632D,cast,Michael Hordern,Lafeu,http://dbpedia.org/resource/Michael_Hordern
LDPC632D,cast,Angela Down,Helena,http://dbpedia.org/resource/Angela_Down
LDPC632D,cast,Peter Jeffrey,Parolles,http://dbpedia.org/resource/Peter_Jeffrey
LDPC632D,cast,Kevin Stoney,Countess's Stewart,http://dbpedia.org/resource/Kevin_Stoney
LDPC632D,cast,Donald Sinden,King of France,http://dbpedia.org/resource/Donald_Sinden
LDPC632D,cast,Robert Lindsay,First French Lord,http://dbpedia.org/resource/Robert_Lindsay_(actor)
LDPC632D,cast,Dominic Jephcott,Second French Lord,http://dbpedia.org/resource/Dominic_Jephcott
LDPC632D,cast,Paul Brooke,Lavache,http://dbpedia.org/resource/Paul_Brooke
LDPC632D,cast,James Simmons,Bachelor,http://shakespeare.acropolis.org.uk/people/James+Simmons
LDPC632D,cast,John Segal,Bachelor,http://shakespeare.acropolis.org.uk/people/John+Segal
LDPC632D,cast,Peter Sands,Bachelor,http://shakespeare.acropolis.org.uk/people/Peter+Sands
LDPC632D,cast,Yves Aubert,Bachelor,http://dbpedia.org/resource/Yves_Aubert
LDPC632D,cast,Terence McGinity,First Gentleman,http://shakespeare.acropolis.org.uk/people/Terence+McGinity
LDPC632D,cast,Max Arthur,Second Gentleman,http://shakespeare.acropolis.org.uk/people/Max+Arthur
LDPC632D,cast,Rosemary Leach,Widow of Florence,http://dbpedia.org/resource/Rosemary_Leach
LDPC632D,cast,Pippa Guard,Diana,http://dbpedia.org/resource/Pippa_Guard
LDPC632D,cast,Joolia Cappleman,Mariana,http://shakespeare.acropolis.org.uk/people/Joolia+Cappleman
LDPC632D,cast,Nickolas Grace,The Soldier,http://dbpedia.org/resource/Nickolas_Grace
LDPC632D,cast,Valentine Dyall,The Astringer,http://dbpedia.org/resource/Valentine_Dyall
LDPD733D,cast,Estelle Kohler,Hippolyta,http://dbpedia.org/resource/Estelle_Kohler
LDPD733D,cast,Nigel Davenport,Theseus,http://dbpedia.org/resource/Nigel_Davenport
LDPD733D,cast,Hugh Quarshie,Philostrate,http://dbpedia.org/resource/Hugh_Quarshie
LDPD733D,cast,Geoffrey Lumsden,Egeus,http://dbpedia.org/resource/Geoffrey_Lumsden
LDPD733D,cast,Pippa Guard,Hermia,http://dbpedia.org/resource/Pippa_Guard
LDPD733D,cast,Nicky Henson,Demetrius,http://dbpedia.org/resource/Nicky_Henson
LDPD733D,cast,Robert Lindsay,Lysander,http://dbpedia.org/resource/Robert_Lindsay_(actor)
LDPD733D,cast,Cherith Mellor,Helena,http://shakespeare.acropolis.org.uk/people/Cherith+Mellor
LDPD733D,cast,Geoffrey Palmer,Quince,http://dbpedia.org/resource/Nicky_Henson
LDPD733D,cast,Brian Glover,Bottom,http://dbpedia.org/resource/Brian_Glover
LDPD733D,cast,John Fowler,Flute,http://shakespeare.acropolis.org.uk/people/John+Fowler
LDPD733D,cast,Don Estelle,Starveling,http://dbpedia.org/resource/Don_Estelle
LDPD733D,cast,Nat Jackley,Snout,http://dbpedia.org/resource/Nat_Jackley
LDPD733D,cast,Ray Mort,Snug,http://shakespeare.acropolis.org.uk/people/Ray+Mort
LDPD733D,cast,Phil Daniels,Puck,http://dbpedia.org/resource/Phil_Daniels
LDPD733D,cast,Helen Mirren,Titania,http://dbpedia.org/resource/Helen_Mirren
LDPD733D,cast,Peter McEnery,Oberon,http://dbpedia.org/resource/Peter_McEnery
LDPD733D,cast,Tania Bennett,Fairy,http://shakespeare.acropolis.org.uk/people/Tania+Bennett
LDPD733D,cast,Alexandra Segal,Fairy,http://shakespeare.acropolis.org.uk/people/Alexandra+Segal
LDPD733D,cast,Louise Mason,Fairy,http://shakespeare.acropolis.org.uk/people/Louise+Mason
LDPD733D,cast,Lee MacDonald,Fairy,http://dbpedia.org/resource/Lee_MacDonald
LDPD733D,cast,Bruce Savage,Peaseblossom,http://shakespeare.acropolis.org.uk/people/Bruce+Savage
LDPD733D,cast,Massimo Mezzofanti,Cobweb,http://shakespeare.acropolis.org.uk/people/Massimo+Mezzofanti
LDPD733D,cast,Dominic Martelli,Moth,http://shakespeare.acropolis.org.uk/people/Dominic+Martelli
LDPD733D,cast,Timothy Cross,Mustardseed,http://shakespeare.acropolis.org.uk/people/Timothy+Cross
LDPD733D,cast,Ralph Morse,Oberon's Henchman,http://shakespeare.acropolis.org.uk/people/Ralph+Morse
LDPD735R,cast,Peter Aldwyn,Second Company,http://shakespeare.acropolis.org.uk/people/Peter+Aldwyn
LDPD735R,cast,Peter Benson,King Henry VI,http://dbpedia.org/resource/Peter_Benson_(actor)
LDPD735R,cast,Brian Binns,Second Company,http://shakespeare.acropolis.org.uk/people/Brian+Binns
LDPD735R,cast,Gerald Blackmore,Second Company,http://shakespeare.acropolis.org.uk/people/Gerald+Blackmore
LDPD735R,cast,Stephen Brigden,Second Company,http://shakespeare.acropolis.org.uk/people/Stephen+Brigden
LDPD735R,cast,Anthony Brown,Sir Richard Ratcliffe,http://shakespeare.acropolis.org.uk/people/Anthony+Brown
LDPD735R,cast,David Burke,Sir William Catesby,http://dbpedia.org/resource/David_Burke_(British_actor)
LDPD735R,cast,Michael Byrne,Duke of Buckingham,http://dbpedia.org/resource/Michael_Byrne_(actor)
LDPD735R,cast,Anne Carroll,Jane Shore,http://shakespeare.acropolis.org.uk/people/Anne+Carroll
LDPD735R,cast,Paul Chapman,Earl Rivers,http://dbpedia.org/resource/Paul_Chapman_(actor)
LDPD735R,cast,Michael Cogan,Second Company,http://shakespeare.acropolis.org.uk/people/Michael+Cogan
LDPD735R,cast,Ron Cook,Richard III,http://dbpedia.org/resource/Ron_Cook
LDPD735R,cast,Rowena Cooper,Queen Elizabeth,http://dbpedia.org/resource/Rowena_Cooper
LDPD735R,cast,Arthur Cox,Lord Grey,http://dbpedia.org/resource/Arthur_Cox_(actor)
LDPD735R,cast,Arthur Cox,Lord Mayor of London,http://dbpedia.org/resource/Arthur_Cox_(actor)
LDPD735R,cast,Stuart Cox,Second Company,http://shakespeare.acropolis.org.uk/people/Stuart+Cox
LDPD735R,cast,Annette Crosbie,Duchess of York,http://dbpedia.org/resource/Annette_Crosbie
LDPD735R,cast,David Daker,Lord Hastings,http://dbpedia.org/resource/David_Daker
LDPD735R,cast,Brian Deacon,"Henry, Earl of Richmond",http://dbpedia.org/resource/Brian_Deacon
LDPD735R,cast,Brian Deacon,Second Citizen,http://dbpedia.org/resource/Brian_Deacon
LDPD735R,cast,Brian Deacon,First Messenger,http://dbpedia.org/resource/Brian_Deacon
LDPD735R,cast,Jeremy Dimmick,Young Duke of York,http://shakespeare.acropolis.org.uk/people/Jeremy+Dimmick
LDPD735R,cast,Jonathan Evans,Second Company,http://shakespeare.acropolis.org.uk/people/Jonathan+Evans
LDPD735R,cast,Tenniel Evans,Lord Stanley,http://dbpedia.org/resource/Tenniel_Evans
LDPD735R,cast,Derek Farr,Sir Robert Brakenbury,http://dbpedia.org/resource/Derek_Farr
LDPD735R,cast,Derek Farr,Earl of Surrey,http://dbpedia.org/resource/Derek_Farr
LDPD735R,cast,Mark Fletcher,Second Company,http://shakespeare.acropolis.org.uk/people/Mark+Fletcher
LDPD735R,cast,Dorian Ford,"Edward, Prince of Wales",http://shakespeare.acropolis.org.uk/people/Dorian+Ford
LDPD735R,cast,Julia Foster,Queen Margaret,http://dbpedia.org/resource/Julia_Foster
