A,B
http://shakespeare.acropolis.org.uk/people/Catherine+Harvey,http://dbpedia.org/resource/Catherine_Harvey
http://shakespeare.acropolis.org.uk/people/Walter+Fitzgerald,http://dbpedia.org/resource/Walter_Fitzgerald
http://shakespeare.acropolis.org.uk/people/Anna+Chancellor,http://dbpedia.org/resource/Anna_Chancellor
http://shakespeare.acropolis.org.uk/people/Julian+Curry,http://dbpedia.org/resource/Julian_Curry
http://shakespeare.acropolis.org.uk/people/Dermot+Crowley,http://dbpedia.org/resource/Dermot_Crowley
http://shakespeare.acropolis.org.uk/people/Geoffrey+Hutchings,http://dbpedia.org/resource/Geoffrey_Hutchings
http://shakespeare.acropolis.org.uk/people/Bernard+Hepton,http://dbpedia.org/resource/Bernard_Hepton
http://shakespeare.acropolis.org.uk/people/Carl+Prekopp,http://dbpedia.org/resource/Carl_Prekopp
http://shakespeare.acropolis.org.uk/people/Bill+Owen,http://dbpedia.org/resource/Bill_Owen_(actor)
http://shakespeare.acropolis.org.uk/people/Jill+Esmond,http://dbpedia.org/resource/Jill_Esmond
http://shakespeare.acropolis.org.uk/people/Roger+McGough,http://dbpedia.org/resource/Roger_McGough
http://shakespeare.acropolis.org.uk/people/Anthony+Bate,http://dbpedia.org/resource/Anthony_Bate
http://shakespeare.acropolis.org.uk/people/Malcolm+Tierney,http://dbpedia.org/resource/Malcolm_Tierney
http://shakespeare.acropolis.org.uk/people/Roger+Lloyd-Pack,http://dbpedia.org/resource/Roger_Lloyd-Pack
http://shakespeare.acropolis.org.uk/people/Sorcha+Cusack,http://dbpedia.org/resource/Sorcha_Cusack
http://shakespeare.acropolis.org.uk/people/Keith+Drinkel,http://dbpedia.org/resource/Keith_Drinkel
http://shakespeare.acropolis.org.uk/people/Darien+Angadi,http://dbpedia.org/resource/Darien_Angadi
http://shakespeare.acropolis.org.uk/people/Hector+Ross,http://dbpedia.org/resource/Hector_Ross
http://shakespeare.acropolis.org.uk/people/George+A.+Cooper,http://dbpedia.org/resource/George_A._Cooper
http://shakespeare.acropolis.org.uk/people/Christopher+Good,http://dbpedia.org/resource/Christopher_Good
http://shakespeare.acropolis.org.uk/people/Anthony+Valentine,http://dbpedia.org/resource/Anthony_Valentine
http://shakespeare.acropolis.org.uk/people/Stephen+Finlay,http://dbpedia.org/resource/Stephen_Finlay
http://shakespeare.acropolis.org.uk/people/Michael+Goodliffe,http://dbpedia.org/resource/Michael_Goodliffe
http://shakespeare.acropolis.org.uk/people/David+Warner,http://dbpedia.org/resource/David_Warner_(actor)
http://shakespeare.acropolis.org.uk/people/David+Peart,http://dbpedia.org/resource/David_Peart
http://dbpedia.org/resource/Tom_Fleming_(actor),http://shakespeare.acropolis.org.uk/people/Tom+Fleming
http://shakespeare.acropolis.org.uk/people/Susan+Engel,http://dbpedia.org/resource/Susan_Engel
http://shakespeare.acropolis.org.uk/people/Helen+Worth,http://dbpedia.org/resource/Helen_Worth
http://shakespeare.acropolis.org.uk/people/Trevor+Martin,http://dbpedia.org/resource/Trevor_Martin
http://shakespeare.acropolis.org.uk/people/Madoline+Thomas,http://dbpedia.org/resource/Madoline_Thomas
http://shakespeare.acropolis.org.uk/people/Christian+Rodska,http://dbpedia.org/resource/Christian_Rodska
http://shakespeare.acropolis.org.uk/people/Jeremy+Burnham,http://dbpedia.org/resource/Jeremy_Burnham
http://shakespeare.acropolis.org.uk/people/Ewan+Hooper,http://dbpedia.org/resource/Ewan_Hooper
http://shakespeare.acropolis.org.uk/people/Malcolm+Terris,http://dbpedia.org/resource/Malcolm_Terris
http://dbpedia.org/resource/Peter_Jeffrey,http://shakespeare.acropolis.org.uk/people/Peter+Jeffrey
http://dbpedia.org/resource/George_Howe_(actor),http://shakespeare.acropolis.org.uk/people/George+Howe
http://dbpedia.org/resource/Michael_Bates_(actor),http://shakespeare.acropolis.org.uk/people/Michael+Bates
http://shakespeare.acropolis.org.uk/people/Rachel+Pickup,http://dbpedia.org/resource/Rachel_Pickup
